"view","feat","method","dataset_name"
"B_BLOCK","B92","diablo","multiomics-sim1"
"B_BLOCK","B755","diablo","multiomics-sim1"
"B_BLOCK","B634","diablo","multiomics-sim1"
"B_BLOCK","B292","diablo","multiomics-sim1"
"B_BLOCK","B694","diablo","multiomics-sim1"
"B_BLOCK","B491","diablo","multiomics-sim1"
"B_BLOCK","B590","diablo","multiomics-sim1"
"B_BLOCK","B802","diablo","multiomics-sim1"
"B_BLOCK","B579","diablo","multiomics-sim1"
"B_BLOCK","B622","diablo","multiomics-sim1"
"B_BLOCK","B670","diablo","multiomics-sim1"
"B_BLOCK","B846","diablo","multiomics-sim1"
"B_BLOCK","B540","diablo","multiomics-sim1"
"B_BLOCK","B594","diablo","multiomics-sim1"
"B_BLOCK","B643","diablo","multiomics-sim1"
"B_BLOCK","B79","diablo","multiomics-sim1"
"B_BLOCK","B771","diablo","multiomics-sim1"
"B_BLOCK","B37","diablo","multiomics-sim1"
"B_BLOCK","B73","diablo","multiomics-sim1"
"B_BLOCK","B205","diablo","multiomics-sim1"
"B_BLOCK","B807","diablo","multiomics-sim1"
"B_BLOCK","B798","diablo","multiomics-sim1"
"B_BLOCK","B651","diablo","multiomics-sim1"
"B_BLOCK","B371","diablo","multiomics-sim1"
"B_BLOCK","B407","diablo","multiomics-sim1"
"B_BLOCK","B732","diablo","multiomics-sim1"
"B_BLOCK","B381","diablo","multiomics-sim1"
"B_BLOCK","B560","diablo","multiomics-sim1"
"B_BLOCK","B155","diablo","multiomics-sim1"
"B_BLOCK","B253","diablo","multiomics-sim1"
"B_BLOCK","B62","diablo","multiomics-sim1"
"B_BLOCK","B353","diablo","multiomics-sim1"
"B_BLOCK","B327","diablo","multiomics-sim1"
"B_BLOCK","B582","diablo","multiomics-sim1"
"B_BLOCK","B483","diablo","multiomics-sim1"
"B_BLOCK","B301","diablo","multiomics-sim1"
"B_BLOCK","B415","diablo","multiomics-sim1"
"B_BLOCK","B641","diablo","multiomics-sim1"
"B_BLOCK","B804","diablo","multiomics-sim1"
"B_BLOCK","B595","diablo","multiomics-sim1"
"B_BLOCK","B778","diablo","multiomics-sim1"
"B_BLOCK","B769","diablo","multiomics-sim1"
"B_BLOCK","B221","diablo","multiomics-sim1"
"B_BLOCK","B277","diablo","multiomics-sim1"
"C_BLOCK","C301","diablo","multiomics-sim1"
"C_BLOCK","C198","diablo","multiomics-sim1"
"C_BLOCK","C97","diablo","multiomics-sim1"
"C_BLOCK","C304","diablo","multiomics-sim1"
"C_BLOCK","C62","diablo","multiomics-sim1"
"C_BLOCK","C132","diablo","multiomics-sim1"
"C_BLOCK","C203","diablo","multiomics-sim1"
"C_BLOCK","C283","diablo","multiomics-sim1"
"C_BLOCK","C50","diablo","multiomics-sim1"
"C_BLOCK","C100","diablo","multiomics-sim1"
"C_BLOCK","C88","diablo","multiomics-sim1"
"C_BLOCK","C290","diablo","multiomics-sim1"
"C_BLOCK","C270","diablo","multiomics-sim1"
"C_BLOCK","C271","diablo","multiomics-sim1"
"C_BLOCK","C145","diablo","multiomics-sim1"
"C_BLOCK","C66","diablo","multiomics-sim1"
"C_BLOCK","C99","diablo","multiomics-sim1"
"C_BLOCK","C209","diablo","multiomics-sim1"
"C_BLOCK","C325","diablo","multiomics-sim1"
"C_BLOCK","C110","diablo","multiomics-sim1"
"C_BLOCK","C82","diablo","multiomics-sim1"
"C_BLOCK","C193","diablo","multiomics-sim1"
"C_BLOCK","C196","diablo","multiomics-sim1"
"C_BLOCK","C119","diablo","multiomics-sim1"
"C_BLOCK","C204","diablo","multiomics-sim1"
"C_BLOCK","C273","diablo","multiomics-sim1"
"C_BLOCK","C256","diablo","multiomics-sim1"
"C_BLOCK","C48","diablo","multiomics-sim1"
"C_BLOCK","C185","diablo","multiomics-sim1"
"C_BLOCK","C323","diablo","multiomics-sim1"
"C_BLOCK","C93","diablo","multiomics-sim1"
"C_BLOCK","C64","diablo","multiomics-sim1"
"C_BLOCK","C157","diablo","multiomics-sim1"
