"view","feature","method","dataset_name"
"mirna","hsa-mir-22","cplr","tcga"
"mirna","hsa-mir-628","cplr","tcga"
"mirna","hsa-mir-3074","cplr","tcga"
"mirna","hsa-mir-29c","cplr","tcga"
"mirna","hsa-mir-196b","cplr","tcga"
"mirna","hsa-mir-582","cplr","tcga"
"mirna","hsa-mir-574","cplr","tcga"
"mirna","hsa-mir-424","cplr","tcga"
"mirna","hsa-mir-9-2","cplr","tcga"
"mirna","hsa-mir-210","cplr","tcga"
"mirna","hsa-mir-134","cplr","tcga"
"mirna","hsa-mir-425","cplr","tcga"
"mirna","hsa-mir-375","cplr","tcga"
"mirna","hsa-mir-101-2","cplr","tcga"
"mirna","hsa-mir-141","cplr","tcga"
"mirna","hsa-mir-92b","cplr","tcga"
"mirna","hsa-mir-142","cplr","tcga"
"mirna","hsa-mir-3065","cplr","tcga"
"mirna","hsa-mir-26b","cplr","tcga"
"mirna","hsa-mir-149","cplr","tcga"
"mirna","hsa-mir-196a-1","cplr","tcga"
"mirna","hsa-mir-151","cplr","tcga"
"mirna","hsa-let-7i","cplr","tcga"
"mirna","hsa-mir-25","cplr","tcga"
"mirna","hsa-mir-429","cplr","tcga"
"mirna","hsa-mir-205","cplr","tcga"
"mirna","hsa-mir-454","cplr","tcga"
"mirna","hsa-mir-106a","cplr","tcga"
"mirna","hsa-mir-452","cplr","tcga"
"mirna","hsa-mir-3607","cplr","tcga"
"mirna","hsa-mir-200a","cplr","tcga"
"mirna","hsa-mir-146b","cplr","tcga"
"mirna","hsa-mir-144","cplr","tcga"
"mirna","hsa-mir-155","cplr","tcga"
"mrna","NCAPG2","cplr","tcga"
"mrna","LYN","cplr","tcga"
"mrna","RAB3IL1","cplr","tcga"
"mrna","PLAUR","cplr","tcga"
"mrna","DTWD2","cplr","tcga"
"mrna","SLC5A6","cplr","tcga"
"mrna","SLCO3A1","cplr","tcga"
"mrna","SH3KBP1","cplr","tcga"
"mrna","MED13L","cplr","tcga"
"mrna","DPYD","cplr","tcga"
"mrna","TBC1D4","cplr","tcga"
"mrna","ALOX5","cplr","tcga"
"mrna","MRVI1","cplr","tcga"
"mrna","C4orf34","cplr","tcga"
"mrna","NME1","cplr","tcga"
"mrna","DBP","cplr","tcga"
"mrna","FUT8","cplr","tcga"
"mrna","DSG2","cplr","tcga"
"mrna","IFIT3","cplr","tcga"
"mrna","IL1R1","cplr","tcga"
"mrna","GK","cplr","tcga"
"mrna","MEGF9","cplr","tcga"
"mrna","CPT1A","cplr","tcga"
"mrna","PTPRE","cplr","tcga"
"mrna","PLSCR1","cplr","tcga"
"mrna","SNX10","cplr","tcga"
"mrna","NME3","cplr","tcga"
"mrna","SHROOM3","cplr","tcga"
"mrna","AMN1","cplr","tcga"
"mrna","PSIP1","cplr","tcga"
"mrna","SQLE","cplr","tcga"
"mrna","PLCD4","cplr","tcga"
"mrna","LRIG1","cplr","tcga"
"mrna","GINS2","cplr","tcga"
"mrna","C1QB","cplr","tcga"
"mrna","RTKN2","cplr","tcga"
"mrna","PBX1","cplr","tcga"
"mrna","COL15A1","cplr","tcga"
"mrna","CCDC113","cplr","tcga"
"mrna","ZNF552","cplr","tcga"
"mrna","OGFRL1","cplr","tcga"
"mrna","IL4R","cplr","tcga"
"mrna","LAPTM4B","cplr","tcga"
"mrna","PRNP","cplr","tcga"
"mrna","ALDH6A1","cplr","tcga"
"mrna","CDK18","cplr","tcga"
"mrna","CBR1","cplr","tcga"
"mrna","SLC43A2","cplr","tcga"
"mrna","BOC","cplr","tcga"
"mrna","EPHB3","cplr","tcga"
"mrna","TBXAS1","cplr","tcga"
"mrna","TOB1","cplr","tcga"
"mrna","ARL4C","cplr","tcga"
"mrna","STAT5A","cplr","tcga"
"mrna","CXCL12","cplr","tcga"
"mrna","WWC2","cplr","tcga"
"mrna","GAS6","cplr","tcga"
"mrna","FAM13A","cplr","tcga"
"mrna","GIYD2","cplr","tcga"
"mrna","ACADS","cplr","tcga"
"mrna","TRIM45","cplr","tcga"
"mrna","S1PR3","cplr","tcga"
"mrna","SEMA5A","cplr","tcga"
"mrna","MXI1","cplr","tcga"
"mrna","SGPP1","cplr","tcga"
"mrna","TANC2","cplr","tcga"
"mrna","NTN4","cplr","tcga"
"mrna","CSF3R","cplr","tcga"
"mrna","PVRL4","cplr","tcga"
"mrna","AKAP12","cplr","tcga"
"mrna","RTN2","cplr","tcga"
"mrna","CSRP2","cplr","tcga"
"mrna","KIF13B","cplr","tcga"
"mrna","FLJ23867","cplr","tcga"
"mrna","CCNA2","cplr","tcga"
"mrna","CDCP1","cplr","tcga"
"mrna","DEPDC6","cplr","tcga"
"mrna","PREX1","cplr","tcga"
"mrna","CAMK2D","cplr","tcga"
"mrna","ICA1","cplr","tcga"
"mrna","STC2","cplr","tcga"
"mrna","IFITM2","cplr","tcga"
"mrna","TST","cplr","tcga"
"mrna","MEX3A","cplr","tcga"
"mrna","ASPM","cplr","tcga"
"mrna","SNORA8","cplr","tcga"
"mrna","EGLN3","cplr","tcga"
"mrna","SEMA3C","cplr","tcga"
"mrna","HLA-H","cplr","tcga"
"mrna","IGSF9","cplr","tcga"
"mrna","GPC4","cplr","tcga"
"mrna","HIST1H2BK","cplr","tcga"
"mrna","APOD","cplr","tcga"
"mrna","WDR76","cplr","tcga"
"mrna","TIGD5","cplr","tcga"
"mrna","LEF1","cplr","tcga"
"protein","XRCC1","cplr","tcga"
"protein","MEK1_pS217_S221","cplr","tcga"
"protein","LBK1","cplr","tcga"
"protein","Notch1","cplr","tcga"
"protein","N-Cadherin","cplr","tcga"
"protein","Chk1","cplr","tcga"
"protein","A-Raf_pS299","cplr","tcga"
"protein","ARID1A","cplr","tcga"
"protein","MIG-6","cplr","tcga"
"protein","PDK1_pS241","cplr","tcga"
"protein","p70S6K_pT389","cplr","tcga"
"protein","mTOR_pS2448","cplr","tcga"
"protein","K-Ras","cplr","tcga"
"protein","PRAS40_pT246","cplr","tcga"
"protein","Smad1","cplr","tcga"
"protein","CD49b","cplr","tcga"
"protein","JNK2","cplr","tcga"
"protein","c-Myc","cplr","tcga"
"protein","alpha-Catenin","cplr","tcga"
"protein","eEF2","cplr","tcga"
"protein","Tuberin","cplr","tcga"
"protein","eEF2K","cplr","tcga"
"protein","STAT3_pY705","cplr","tcga"
"protein","PI3K-p110-alpha","cplr","tcga"
"protein","PRDX1","cplr","tcga"
"protein","Src","cplr","tcga"
"protein","Bak","cplr","tcga"
"protein","beta-Catenin","cplr","tcga"
"protein","Bid","cplr","tcga"
"protein","Smad3","cplr","tcga"
"protein","PTEN","cplr","tcga"
"protein","EGFR_pY1173","cplr","tcga"
"protein","Chk2","cplr","tcga"
"protein","p90RSK_pT359_S363","cplr","tcga"
"protein","HER2","cplr","tcga"
"protein","AR","cplr","tcga"
"protein","MEK1","cplr","tcga"
"protein","C-Raf","cplr","tcga"
"protein","YAP_pS127","cplr","tcga"
"protein","4E-BP1","cplr","tcga"
"protein","Bim","cplr","tcga"
"protein","Akt_pT308","cplr","tcga"
"protein","ER-alpha_pS118","cplr","tcga"
"protein","RBM3","cplr","tcga"
"protein","MAPK_pT202_Y204","cplr","tcga"
"protein","Claudin-7","cplr","tcga"
"protein","Akt_pS473","cplr","tcga"
"protein","HER3_pY1289","cplr","tcga"
"protein","Rad50","cplr","tcga"
"protein","Cyclin_B1","cplr","tcga"
"protein","S6_pS240_S244","cplr","tcga"
"protein","p70S6K","cplr","tcga"
"protein","STAT5-alpha","cplr","tcga"
"protein","Dvl3","cplr","tcga"
"protein","p53","cplr","tcga"
"protein","Bcl-2","cplr","tcga"
"protein","EGFR_pY1068","cplr","tcga"
"protein","GATA3","cplr","tcga"
"protein","p27","cplr","tcga"
"protein","Src_pY527","cplr","tcga"
"protein","YB-1_pS102","cplr","tcga"
"protein","PAI-1","cplr","tcga"
"protein","c-Kit","cplr","tcga"
"protein","53BP1","cplr","tcga"
"protein","PCNA","cplr","tcga"
"protein","E-Cadherin","cplr","tcga"
"protein","eIF4E","cplr","tcga"
"protein","PKC-delta_pS664","cplr","tcga"
"protein","Collagen_VI","cplr","tcga"
"protein","GAB2","cplr","tcga"
"protein","Annexin_I","cplr","tcga"
"protein","Transglutaminase","cplr","tcga"
"protein","ERK2","cplr","tcga"
"protein","PDCD4","cplr","tcga"
"protein","HSP70","cplr","tcga"
"protein","ER-alpha","cplr","tcga"
"protein","Syk","cplr","tcga"
"protein","Rb_pS807_S811","cplr","tcga"
"protein","c-Met_pY1235","cplr","tcga"
"protein","S6_pS235_S236","cplr","tcga"
"protein","p38_pT180_Y182","cplr","tcga"
"protein","PR","cplr","tcga"
"protein","S6","cplr","tcga"
"protein","SCD1","cplr","tcga"
"protein","Fibronectin","cplr","tcga"
"protein","Shc_pY317","cplr","tcga"
"protein","4E-BP1_pT37","cplr","tcga"
"protein","ACC_pS79","cplr","tcga"
"protein","Paxillin","cplr","tcga"
