process	tag	realtime	%cpu	%mem	rss	peak_rss	peak_vmem	duration	memory
CROSS_VALIDATION:CV_R:COOPERATIVE_LEARNING:COOPERATIVE_LEARNING_PREDICT	GSE123-fold_1	5.5s	41.8%	0.1%	183.9 MB	183.9 MB	1.2 GB	9.2s	1 GB
CROSS_VALIDATION:CV_R:DIABLO:DIABLO_PREDICT	rosmap-fold_2	8.2s	48.8%	0.1%	233.3 MB	233.3 MB	1.4 GB	11.5s	1 GB
CROSS_VALIDATION:CV_R:DIABLO:DIABLO_PREDICT	rosmap-fold_1	8.6s	46.4%	0.1%	231.6 MB	231.6 MB	1.4 GB	12.5s	1 GB
CROSS_VALIDATION:CV_R:COOPERATIVE_LEARNING:COOPERATIVE_LEARNING_PREDICT	multiomics-sim2-fold_2	6s	39.7%	0.1%	210.1 MB	210.1 MB	1.3 GB	10s	1 GB
CROSS_VALIDATION:CV_R:COOPERATIVE_LEARNING:COOPERATIVE_LEARNING_PREDICT	multiomics-sim2-fold_1	4.9s	46.5%	0.1%	212.6 MB	212.6 MB	1.3 GB	9.5s	1 GB
CROSS_VALIDATION:CV_R:COOPERATIVE_LEARNING:COOPERATIVE_LEARNING_PREPROCESS	breast_tcga	29.6s	40.8%	0.3%	636.5 MB	636.5 MB	1.7 GB	34.1s	1 GB
CROSS_VALIDATION:CV_R:DIABLO:DIABLO_PREPROCESS	breast_tcga	26.6s	45.4%	0.3%	642.1 MB	642.1 MB	1.7 GB	30.7s	1 GB
CROSS_VALIDATION:CV_PYTHON:MOGONET:MOGONET_TRAIN	GSE71669-fold_3	6m 52s	375.9%	0.2%	475.3 MB	475.3 MB	3.7 GB	6m 57s	2 GB
CROSS_VALIDATION:CV_R:DIABLO:DIABLO_PREDICT	rosmap-fold_3	7.7s	53.9%	0.1%	231.4 MB	231.4 MB	1.4 GB	11.2s	1 GB
CROSS_VALIDATION:CV_R:COOPERATIVE_LEARNING:COOPERATIVE_LEARNING_TRAIN	breast_tcga-fold_2	2m 9s	246.1%	0.3%	614.8 MB	614.8 MB	1.8 GB	2m 13s	1 GB
CROSS_VALIDATION:CV_R:COOPERATIVE_LEARNING:COOPERATIVE_LEARNING_TRAIN	breast_tcga-fold_1	2m 20s	268.1%	0.3%	628.8 MB	630.7 MB	1.8 GB	2m 27s	1 GB
CROSS_VALIDATION:CV_R:COOPERATIVE_LEARNING:COOPERATIVE_LEARNING_TRAIN	breast_tcga-fold_3	2m 23s	264.2%	0.3%	622.1 MB	622.1 MB	1.8 GB	2m 28s	1 GB
CROSS_VALIDATION:CV_PYTHON:MOGONET:MOGONET_TRAIN	multiomics-sim1-fold_2	7m 56s	292.5%	0.2%	379.1 MB	379.1 MB	3.6 GB	7m 59s	2 GB
CROSS_VALIDATION:CV_R:DIABLO:DIABLO_TRAIN	breast_tcga-fold_2	16.7s	57.2%	0.3%	534.1 MB	534.1 MB	1.6 GB	20.3s	1 GB
CROSS_VALIDATION:CV_R:DIABLO:DIABLO_TRAIN	breast_tcga-fold_3	16s	59.3%	0.3%	538.4 MB	538.4 MB	1.6 GB	18.9s	1 GB
CROSS_VALIDATION:CV_R:DIABLO:DIABLO_TRAIN	breast_tcga-fold_1	19s	53.2%	0.3%	581.6 MB	581.6 MB	1.8 GB	22.5s	1 GB
CROSS_VALIDATION:CV_PYTHON:MOGONET:MOGONET_PREDICT	GSE71669-fold_3	12.7s	32.4%	0.2%	379.2 MB	382.2 MB	3.6 GB	17.8s	1 GB
CROSS_VALIDATION:CV_R:COOPERATIVE_LEARNING:COOPERATIVE_LEARNING_PREDICT	breast_tcga-fold_2	6.4s	36.0%	0.1%	191.9 MB	191.9 MB	1.2 GB	10.5s	1 GB
CROSS_VALIDATION:CV_R:COOPERATIVE_LEARNING:COOPERATIVE_LEARNING_PREDICT	breast_tcga-fold_1	5.3s	42.1%	0.1%	211 MB	211 MB	1.3 GB	9.6s	1 GB
CROSS_VALIDATION:CV_R:COOPERATIVE_LEARNING:COOPERATIVE_LEARNING_PREDICT	breast_tcga-fold_3	5.6s	41.5%	0.1%	211.1 MB	211.1 MB	1.3 GB	10.5s	1 GB
CROSS_VALIDATION:CV_PYTHON:MOGONET:MOGONET_PREDICT	multiomics-sim1-fold_2	13.8s	27.8%	0.2%	331.1 MB	331.1 MB	3.2 GB	19.8s	1 GB
CROSS_VALIDATION:CV_R:DIABLO:DIABLO_PREDICT	breast_tcga-fold_3	6.8s	48.5%	0.1%	220.3 MB	220.3 MB	1.2 GB	11.3s	1 GB
CROSS_VALIDATION:CV_R:DIABLO:DIABLO_PREDICT	breast_tcga-fold_2	8.9s	39.5%	0.1%	181.6 MB	181.6 MB	1.2 GB	13.7s	1 GB
CROSS_VALIDATION:CV_R:DIABLO:DIABLO_PREDICT	breast_tcga-fold_1	8.9s	39.3%	0.1%	235.2 MB	235.2 MB	1.4 GB	11.9s	1 GB
CROSS_VALIDATION:CV_R:DIABLO:MERGE_RESULT_TABLE	diablo	2.8s	38.6%	0.1%	101.4 MB	101.4 MB	1.1 GB	7.9s	1 GB
CROSS_VALIDATION:CV_PYTHON:MOGONET:MOGONET_TRAIN	breast_tcga-fold_1	5m 13s	387.8%	0.2%	367.3 MB	367.3 MB	3.6 GB	5m 16s	2 GB
CROSS_VALIDATION:CV_PYTHON:MOGONET:MOGONET_PREDICT	breast_tcga-fold_1	14.1s	32.4%	0.2%	333.5 MB	333.5 MB	3.2 GB	20.4s	1 GB
CROSS_VALIDATION:CV_PYTHON:MOGONET:MOGONET_TRAIN	multiomics-sim2-fold_1	6m	396.9%	0.2%	400.8 MB	400.8 MB	3.6 GB	6m 2s	2 GB
CROSS_VALIDATION:CV_R:COOPERATIVE_LEARNING:COOPERATIVE_LEARNING_TRAIN	GSE71669-fold_1	37m 12s	98.5%	0.6%	1.2 GB	1.2 GB	2.4 GB	37m 15s	1 GB
CROSS_VALIDATION:CV_R:COOPERATIVE_LEARNING:COOPERATIVE_LEARNING_PREDICT	GSE71669-fold_1	5.2s	46.7%	0.1%	195.9 MB	195.9 MB	1.2 GB	10.3s	1 GB
CROSS_VALIDATION:CV_PYTHON:MOGONET:MOGONET_PREDICT	multiomics-sim2-fold_1	13.6s	26.6%	0.2%	331.8 MB	332.1 MB	3.2 GB	19.7s	1 GB
CROSS_VALIDATION:CV_R:COOPERATIVE_LEARNING:COOPERATIVE_LEARNING_TRAIN	GSE71669-fold_2	38m	99.1%	0.6%	1.2 GB	1.2 GB	2.4 GB	38m 3s	1 GB
CROSS_VALIDATION:CV_R:COOPERATIVE_LEARNING:COOPERATIVE_LEARNING_PREDICT	GSE71669-fold_2	5.3s	43.4%	0.1%	196.1 MB	196.1 MB	1.2 GB	13.8s	1 GB
CROSS_VALIDATION:CV_R:COOPERATIVE_LEARNING:COOPERATIVE_LEARNING_TRAIN	GSE71669-fold_3	33m 46s	110.2%	0.6%	1.2 GB	1.2 GB	2.4 GB	33m 49s	1 GB
CROSS_VALIDATION:CV_PYTHON:MOGONET:MOGONET_TRAIN	GSE123-fold_2	2m 24s	547.7%	0.2%	399 MB	399 MB	3.7 GB	2m 27s	2 GB
CROSS_VALIDATION:CV_PYTHON:MOGONET:MOGONET_TRAIN	GSE123-fold_1	9.9s	276.4%	0.2%	398.9 MB	398.9 MB	3.7 GB	15.1s	2 GB
CROSS_VALIDATION:CV_PYTHON:MOGONET:MOGONET_TRAIN	GSE123-fold_3	12.5s	240.5%	0.2%	399.2 MB	399.2 MB	3.7 GB	15.1s	2 GB
CROSS_VALIDATION:CV_PYTHON:MOGONET:MOGONET_TRAIN	multiomics-sim2-fold_3	12.5s	340.1%	0.2%	402.6 MB	402.6 MB	3.7 GB	16.9s	2 GB
CROSS_VALIDATION:CV_PYTHON:MOGONET:MOGONET_TRAIN	GSE71669-fold_1	16.4s	290.9%	0.2%	462.9 MB	470.8 MB	3.7 GB	18.9s	2 GB
CROSS_VALIDATION:CV_PYTHON:MOGONET:MOGONET_TRAIN	rosmap-fold_1	11s	383.9%	0.2%	403.2 MB	403.2 MB	3.6 GB	13.8s	2 GB
CROSS_VALIDATION:CV_PYTHON:MOGONET:MOGONET_TRAIN	breast_tcga-fold_2	13.9s	227.4%	0.2%	371.3 MB	371.3 MB	3.6 GB	16.4s	2 GB
CROSS_VALIDATION:CV_PYTHON:MOGONET:MOGONET_PREDICT	GSE123-fold_3	9.1s	41.1%	0.2%	334.1 MB	334.1 MB	3.2 GB	12.8s	1 GB
CROSS_VALIDATION:CV_PYTHON:MOGONET:MOGONET_PREDICT	multiomics-sim2-fold_3	11.8s	34.4%	0.2%	330 MB	330 MB	3.2 GB	15.9s	1 GB
CROSS_VALIDATION:CV_PYTHON:MOGONET:MOGONET_PREDICT	GSE71669-fold_1	10.8s	36.2%	0.2%	380.5 MB	382.2 MB	3.7 GB	15s	1 GB
CROSS_VALIDATION:CV_PYTHON:MOGONET:MOGONET_PREDICT	rosmap-fold_1	13.9s	30.3%	0.2%	331.1 MB	331.1 MB	3.2 GB	18.7s	1 GB
CROSS_VALIDATION:CV_PYTHON:MOGONET:MOGONET_TRAIN	rosmap-fold_2	23.3s	477.4%	0.2%	403.4 MB	403.4 MB	3.6 GB	28s	2 GB
CROSS_VALIDATION:CV_R:COOPERATIVE_LEARNING:COOPERATIVE_LEARNING_PREDICT	GSE71669-fold_3	2.7s	114.1%	0.1%	197.7 MB	197.7 MB	1.2 GB	3.7s	1 GB
CROSS_VALIDATION:CV_PYTHON:MOGONET:MOGONET_PREDICT	GSE123-fold_1	5.6s	76.9%	0.2%	330.4 MB	330.4 MB	3.2 GB	12.9s	1 GB
CROSS_VALIDATION:CV_PYTHON:MOGONET:MOGONET_PREDICT	GSE123-fold_2	4.8s	74.1%	0.2%	329.1 MB	329.1 MB	3.2 GB	7.4s	1 GB
CROSS_VALIDATION:CV_PYTHON:MOGONET:MOGONET_PREDICT	breast_tcga-fold_2	4.7s	84.2%	0.2%	328 MB	328 MB	3.2 GB	8.1s	1 GB
CROSS_VALIDATION:CV_R:COOPERATIVE_LEARNING:MERGE_RESULT_TABLE	cooperative_learning	1.4s	114.6%	0.0%	71.7 MB	71.7 MB	1.1 GB	4.1s	1 GB
CROSS_VALIDATION:CV_PYTHON:MOGONET:MOGONET_TRAIN	multiomics-sim1-fold_1	9.5s	318.5%	0.2%	403.3 MB	403.3 MB	3.9 GB	12s	2 GB
CROSS_VALIDATION:CV_PYTHON:MOGONET:MOGONET_PREDICT	rosmap-fold_2	4.6s	90.9%	0.2%	331.6 MB	331.6 MB	3.2 GB	9.6s	1 GB
CROSS_VALIDATION:CV_PYTHON:MOGONET:MOGONET_TRAIN	breast_tcga-fold_3	9.8s	360.8%	0.2%	367.3 MB	367.3 MB	3.6 GB	12.2s	2 GB
CROSS_VALIDATION:CV_PYTHON:MOGONET:MOGONET_TRAIN	rosmap-fold_3	13.4s	289.0%	0.2%	404.1 MB	404.1 MB	3.6 GB	15.9s	2 GB
CROSS_VALIDATION:CV_R:MERGE_RESULT_TABLE	R	1.7s	104.3%	0.1%	101.7 MB	101.7 MB	1.1 GB	2.6s	1 GB
CROSS_VALIDATION:CV_PYTHON:MOGONET:MOGONET_TRAIN	multiomics-sim2-fold_2	15.3s	445.9%	0.2%	403.7 MB	403.7 MB	3.7 GB	21.5s	2 GB
CROSS_VALIDATION:CV_PYTHON:MOGONET:MOGONET_PREDICT	multiomics-sim1-fold_1	11.6s	31.3%	0.2%	327.6 MB	327.6 MB	3.2 GB	14.9s	1 GB
CROSS_VALIDATION:CV_PYTHON:MOGONET:MOGONET_PREDICT	breast_tcga-fold_3	11.6s	44.2%	0.2%	325.8 MB	325.8 MB	3.2 GB	14.2s	1 GB
CROSS_VALIDATION:CV_PYTHON:MOGONET:MOGONET_PREDICT	rosmap-fold_3	7.8s	46.3%	0.2%	330.4 MB	330.4 MB	3.2 GB	13.6s	1 GB
CROSS_VALIDATION:CV_PYTHON:MOGONET:MOGONET_PREDICT	multiomics-sim2-fold_2	6.6s	57.7%	0.2%	333 MB	333 MB	3.2 GB	10.6s	1 GB
CROSS_VALIDATION:CV_PYTHON:MOGONET:MOGONET_TRAIN	GSE71669-fold_2	12.5s	418.9%	0.2%	472.1 MB	480.3 MB	3.8 GB	15s	2 GB
CROSS_VALIDATION:CV_PYTHON:MOGONET:MOGONET_TRAIN	multiomics-sim1-fold_3	9.6s	344.4%	0.2%	402.9 MB	402.9 MB	3.7 GB	12s	2 GB
CROSS_VALIDATION:CV_PYTHON:MOGONET:MOGONET_PREDICT	GSE71669-fold_2	7.8s	52.3%	0.2%	330.3 MB	330.3 MB	3.1 GB	10.2s	1 GB
CROSS_VALIDATION:CV_PYTHON:MOGONET:MOGONET_PREDICT	multiomics-sim1-fold_3	4.2s	80.7%	0.2%	321.1 MB	321.1 MB	3.1 GB	6.4s	1 GB
CROSS_VALIDATION:CV_PYTHON:MOGONET:MERGE_RESULT_TABLE	mogonet	1.2s	135.3%	0.0%	2.2 MB	2.2 MB	89.5 MB	2.3s	1 GB
CROSS_VALIDATION:CV_PYTHON:MERGE_RESULT_TABLE	Python	1.1s	137.8%	0.0%	2 MB	2 MB	92.4 MB	2s	1 GB
